NO_ASET,SUB_ASET,NO_ITEM,NJOP,NO_PBB,TGL_PBB,CREATED_BY,CREATED_ON,MODIFIED_BY,MODIFIED_ON,PERIODE,TAHUN,KETERANGAN_PBB
120506004227,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:42:36 GMT+0700 (Western Indonesia Time),6,2023,
120506004217,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Wed Dec 13 2023 18:30:23 GMT+0700 (Western Indonesia Time),6,2023,
120506004192,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:44:42 GMT+0700 (Western Indonesia Time),6,2023,
120506004204,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:46:22 GMT+0700 (Western Indonesia Time),6,2023,
120506004207,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,323,Tue Dec 12 2023 16:47:06 GMT+0700 (Western Indonesia Time),6,2023,
120504003208,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,262,Thu Dec 07 2023 16:32:06 GMT+0700 (Western Indonesia Time),6,2023,
120505001556,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,135,Thu Dec 07 2023 17:09:10 GMT+0700 (Western Indonesia Time),6,2023,
120507003498,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,140,Fri Dec 08 2023 10:03:32 GMT+0700 (Western Indonesia Time),6,2023,
120507003499,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,140,Fri Dec 08 2023 10:06:00 GMT+0700 (Western Indonesia Time),6,2023,
120507003500,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,140,Fri Dec 08 2023 10:09:32 GMT+0700 (Western Indonesia Time),6,2023,
120502003316,0,1,,,Thu Jan 01 1970 00:00:00 GMT+0700 (Western Indonesia Time),,,117,Mon Dec 18 2023 16:51:01 GMT+0700 (Western Indonesia Time),6,2023,
