NO_ASET,SUB_ASET,NILAI_SUSUT,AKUMULASI_PENYUSUTAN,NILAI_PEROLEHAN,NILAI_BUKU,NILAI_RESIDU,PERIODE,TAHUN,CREATED_BY,CREATED_ON,PENURUNAN_AKUMULASI_NILAI,PEMULIHAN_AKUMULASI_NILAI,AKUMULASI_PENYUSUTAN_NEW,PENYUSUTAN_SD_BLN_BERJALAN
120502000096,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000097,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000098,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000099,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000100,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000101,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000102,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000103,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000104,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000105,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000106,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000107,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000108,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
120502000109,0,0,108,0,0,0,6,2023,1,Tue Sep 19 2023 14:51:16 GMT+0700 (Western Indonesia Time),,,,
