SUB_ASET,PATH_SURAT,FLAG,CREATED_ON,JENIS_FOTO,NO_ITEM,NO_ASET
0,storage/upload/120604000369/0/2/111420231035196552eaf741f37.jpg,Y,Tue Nov 14 2023 10:35:19 GMT+0700 (Western Indonesia Time),2,1,120604000369
0,storage/upload/120506003160/0/2/111420231036076552eb27cb24e.jpg,Y,Tue Nov 14 2023 10:36:07 GMT+0700 (Western Indonesia Time),2,1,120506003160
0,storage/upload/120502004110/0/1/111420231036136552eb2d119e7.jpg,Y,Tue Nov 14 2023 10:36:13 GMT+0700 (Western Indonesia Time),1,1,120502004110
0,storage/upload/120604000370/0/2/111420231036176552eb3179215.jpg,Y,Tue Nov 14 2023 10:36:17 GMT+0700 (Western Indonesia Time),2,1,120604000370
0,storage/upload/120506001352/0/2/1115202310051265543568e8707.jpg,Y,Wed Nov 15 2023 10:05:12 GMT+0700 (Western Indonesia Time),2,1,120506001352
0,storage/upload/120506004102/0/1/111520231005516554358fd28ad_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 10:05:56 GMT+0700 (Western Indonesia Time),1,1,120506004102
0,storage/upload/120506001350/0/2/111520231006056554359d71aba.jpg,Y,Wed Nov 15 2023 10:06:05 GMT+0700 (Western Indonesia Time),2,1,120506001350
0,storage/upload/120506001349/0/1/11152023100742655435fe0ff0e.jpg,Y,Wed Nov 15 2023 10:07:42 GMT+0700 (Western Indonesia Time),1,1,120506001349
0,storage/upload/120506003595/0/2/1115202310081665543620cc6ef.jpg,Y,Wed Nov 15 2023 10:08:16 GMT+0700 (Western Indonesia Time),2,1,120506003595
0,storage/upload/120508000313/0/1/111520231008436554363b1643b.jpg,Y,Wed Nov 15 2023 10:08:43 GMT+0700 (Western Indonesia Time),1,1,120508000313
0,storage/upload/120502003094/0/2/111520231008436554363b68f3c_medium_thumbnail_.JPG,Y,Wed Nov 15 2023 10:08:45 GMT+0700 (Western Indonesia Time),2,1,120502003094
0,storage/upload/120506003593/0/2/111520231008486554364066a2f.jpg,Y,Wed Nov 15 2023 10:08:48 GMT+0700 (Western Indonesia Time),2,1,120506003593
0,storage/upload/120505000083/0/2/1115202310084865543640d1138.jpg,Y,Wed Nov 15 2023 10:08:48 GMT+0700 (Western Indonesia Time),2,1,120505000083
0,storage/upload/120401000184/0/1/111520230848106554235af2d4c.jpg,Y,Wed Nov 15 2023 08:48:10 GMT+0700 (Western Indonesia Time),1,1,120401000184
0,storage/upload/120502003611/0/1/11152023085236655424640e747_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 08:52:39 GMT+0700 (Western Indonesia Time),1,1,120502003611
0,storage/upload/120501000376/0/2/111520231851416554b0cdd9ec6_medium_thumbnail_.jpeg,Y,Wed Nov 15 2023 18:52:26 GMT+0700 (Western Indonesia Time),2,1,120501000376
0,storage/upload/120505002762/0/2/111520231950596554beb30a015.jpg,Y,Wed Nov 15 2023 19:50:59 GMT+0700 (Western Indonesia Time),2,1,120505002762
0,storage/upload/120506002750/0/1/111520232101556554cf530fb34_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 21:02:07 GMT+0700 (Western Indonesia Time),1,1,120506002750
0,storage/upload/120508000323/0/3/111520232122026554d40a15b80.pdf,Y,Wed Nov 15 2023 21:24:44 GMT+0700 (Western Indonesia Time),3,1,120508000323
0,storage/upload/120505001924/0/1/111520232126386554d51e15931_medium_thumbnail_.jpg,N,Wed Nov 15 2023 21:28:59 GMT+0700 (Western Indonesia Time),1,1,120505001924
0,storage/upload/120509000708/0/1/111520232254386554e9be82ad2_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 22:55:25 GMT+0700 (Western Indonesia Time),1,1,120509000708
0,storage/upload/120509000620/0/1/111520232316326554eee06f676_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 23:16:42 GMT+0700 (Western Indonesia Time),1,1,120509000620
0,storage/upload/120502002567/0/1/111520232320196554efc3811f7_medium_thumbnail_.jpg,Y,Wed Nov 15 2023 23:20:28 GMT+0700 (Western Indonesia Time),1,1,120502002567
0,storage/upload/120502004703/0/2/1116202308091065556bb6b1b8b.jpg,Y,Thu Nov 16 2023 08:09:10 GMT+0700 (Western Indonesia Time),2,1,120502004703
0,storage/upload/120506001599/0/2/111620230851076555758b73bba.jpg,Y,Thu Nov 16 2023 08:51:07 GMT+0700 (Western Indonesia Time),2,1,120506001599
0,storage/upload/120506001594/0/2/11162023090843655579ab8fa93.jpg,Y,Thu Nov 16 2023 09:08:43 GMT+0700 (Western Indonesia Time),2,1,120506001594
